id,process_order_sap3,fat_pct,particles_grp1,particles_grp2,particles_grp3,humidity,test
1,1805111119,6.72,44.34,17.66,35.19,11.4,False
1,1805251145,5.47,62.0,24.0,13.0,11.5,False
2,1805111119,6.72,44.34,17.66,35.19,11.4,False
2,1805251145,5.47,62.0,24.0,13.0,11.5,False
3,1805111119,6.72,44.34,17.66,35.19,11.4,False
3,1805251145,5.47,62.0,24.0,13.0,11.5,False
4,1805251145,5.47,62.0,24.0,13.0,11.5,False
4,1806161120,5.85,44.49,17.03,37.49,11.6,False
5,1805251145,5.47,62.0,24.0,13.0,11.5,False
5,1806161120,5.85,44.49,17.03,37.49,11.6,False
6,1805251145,5.47,62.0,24.0,13.0,11.5,False
6,1806081147,5.47,62.0,24.0,13.0,11.5,False
6,1806161120,5.85,44.49,17.03,37.49,11.6,False
6,1806081148,5.8,61.5,26.0,12.3,10.9,False
7,1806081148,5.8,61.5,26.0,12.3,10.9,False
7,1807031121,5.85,44.49,17.03,37.49,11.5,False
8,1806081148,5.8,61.5,26.0,12.3,10.9,False
8,1807031121,5.85,44.49,17.03,37.49,11.5,False
9,1808031122,5.81,42.72,14.1,41.1,12.2,False
9,1808131150,5.5,61.2,24.6,14.2,11.4,False
10,1808031122,5.81,42.72,14.1,41.1,12.2,False
10,1808131150,5.5,61.2,24.6,14.2,11.4,False
11,1808031122,5.81,42.72,14.1,41.1,12.2,False
11,1808131150,5.5,61.2,24.6,14.2,11.4,False
12,1808031122,5.81,42.72,14.1,41.1,12.2,False
12,1810121123,6.67,58.2,18.5,23.1,11.0,False
12,1810031123,6.4,44.7,16.59,36.42,11.3,False
12,1804191121,6.38,61.8,25.9,12.1,11.88,False
13,1810031123,6.4,44.7,16.59,36.42,11.3,False
13,1810121123,6.67,58.2,18.5,23.1,11.0,False
14,1811101156,5.45,13.52,58.73,27.96,10.4,False
15,1811101156,5.45,13.52,58.73,27.96,10.4,False
16,1811101156,5.45,13.52,58.73,27.96,10.4,False
16,1811101157,6.1,61.8,25.5,12.5,11.3,False
17,1809191152,5.8,61.5,26.0,12.3,10.9,False
17,1810031123,6.4,44.7,16.59,36.42,11.3,False
17,1811231158,6.1,61.8,25.5,12.5,11.3,False
18,1809191152,5.8,61.5,26.0,12.3,10.9,False
18,1810031123,6.4,44.7,16.59,36.42,11.3,False
18,1811101157,6.1,61.8,25.5,12.5,11.3,False
18,1811231158,6.1,61.8,25.5,12.5,11.3,False
19,1810031123,6.4,44.7,16.59,36.42,11.3,False
19,1810121155,5.8,61.5,26.0,12.3,10.9,False
19,1811231158,6.1,61.8,25.5,12.5,11.3,False
19,1811101157,6.1,61.8,25.5,12.5,11.3,False
20,1810031123,6.4,44.7,16.59,36.42,11.3,False
20,1812151163,5.62,61.4,26.1,12.2,11.4,False
21,1810031123,6.4,44.7,16.59,36.42,11.3,False
21,1812151163,5.62,61.4,26.1,12.2,11.4,False
22,1810031123,6.4,44.7,16.59,36.42,11.3,False
22,1812151163,5.62,61.4,26.1,12.2,11.4,False
23,1810031123,6.4,44.7,16.59,36.42,11.3,False
23,1812151163,5.62,61.4,26.1,12.2,11.4,False
24,1812071161,7.41,8.0,32.45,38.75,6.8,False
24,1901261164,5.45,58.7,28.6,12.5,11.4,False
24,1812071162,7.41,8.0,32.45,38.75,6.8,False
25,1812071162,7.41,8.0,32.45,38.75,6.8,False
25,1901261164,5.45,58.7,28.6,12.5,11.4,False
26,1812071162,7.41,8.0,32.45,38.75,6.8,False
26,1901261164,5.45,58.7,28.6,12.5,11.4,False
26,1901301125,6.24,44.71,15.83,37.29,11.0,False
27,1901301125,6.24,44.71,15.83,37.29,11.0,False
27,1902161165,5.36,64.18,21.72,13.94,13.7,False
28,1901301125,6.24,44.71,15.83,37.29,11.0,False
28,1902161165,5.36,64.18,21.72,13.94,13.7,False
28,1901261164,5.45,58.7,28.6,12.5,11.4,False
29,1901301125,6.24,44.71,15.83,37.29,11.0,False
29,1902161165,5.36,64.18,21.72,13.94,13.7,False
30,1901301125,6.24,44.71,15.83,37.29,11.0,False
30,1902161165,5.36,64.18,21.72,13.94,13.7,False
30,1902271126,6.74,44.92,14.25,38.67,11.2,False
